"","sID","group","gender","age","righthanded","english","run1Acc","run2Acc","run3Acc","run4Acc","ETPreTR","ETPreUN","ETPostTR","ETPostUN","ErrPreTR","ErrPreUN","ErrPostTR","ErrPostUN","ITPreTR","ITPreUN","ITPostTR","ITPostUN","WM","IQ2","IQ5","IQ9","IQsum","Extrov","Agr","Consc","Neur","Open","PT","FS","EC","PD","NPI","InterDep","InDep","trapBIG","trapIRI","trapNPI","trapSC"
"1","1OA","OA","Male  ",19,"Yes","No ",100,100,100,100,1.6373,1.9248,1.152,1.6832,0.4,0.5,0.1,0.5,0.73427,0.61081,0.31084,0.44676,196,11,9,11,31,3.625,4.2222,3.6667,2,3.9,23,18,17,10,17,45,46,1,3,0,1
"2","2OA","OA","Female",20,"Yes","Yes",62.5,100,71.42857,83.33333,2.1796,2.9511,1.6856,1.7052,0.1,0.1,0,0.3,1.3125,1.7912,0.81659,1.3326,179,9,6,9,24,3.25,3.8889,3,2.375,2.9,23,21,18,14,10,46,42,0,2,1,0
"4","4OA","OA","Female",19,"Yes","Yes",100,100,83.33333,87.5,2.633,2.4995,1.9888,1.818,0.2,0.1,0,0.6,0.9514,0.95782,0.48316,0.46856,193,7,3,10,20,3,3.6667,3,2.5,3.5,16,19,18,12,5,41,41,0,0,1,0
"6","6OA","OA","Male  ",18,"Yes","Yes",62.5,100,87.5,100,1.326,1.2115,0.94078,1.3627,0.2,0.3,0,0.1,0.54267,0.40744,0.30503,0.47186,208,7,13,10,30,3.125,4.1111,2.6667,4.125,2.4,17,16,18,6,11,55,45,0,0,0,1
"8","8OA","OA","Female",18,"Yes","Yes",100,100,100,100,1.7052,1.602,1.192,1.4892,0.3,0.2,0.2,0.3,0.77166,0.64354,0.49258,0.73839,201,11,18,12,41,3.875,4,2.8889,4.375,3.7,19,28,28,19,9,51,32,1,0,0,1
"9","9OA","OA","Female",19,"Yes","Yes",100,100,100,100,2.4826,2.692,2.087,2.4663,0.7,0.8,0.2,0.3,0.50027,0.50842,0.65616,0.59365,188,8,7,10,25,3.625,4.5556,4.1111,2.75,3.6,23,27,24,10,8,56,44,0,0,0,1
"10","10OA","OA","Female",20,"Yes","No ",100,100,85.71429,83.33333,3.9627,3.2089,1.5576,1.6,0.4,0.1,0,0.1,1.0662,1.5312,0.77138,0.93392,197,7,9,9,25,4,4,2.5556,4,3.6,19,20,22,20,28,45,47,0,1,0,0
"11","11OA","OA","Female",19,"Yes","Yes",71.42857,87.5,100,100,2.796,2.3348,2.1456,1.8027,0.6,0.3,0.5,0.1,1.4681,1.0803,1.0637,0.75884,203,9,4,14,27,4.125,3.5556,4,2.25,3.6,20,18,21,7,10,41,40,0,1,0,0
"12","12OA","OA","Female",19,"Yes","Yes",100,100,83.33333,62.5,2.63,1.86,1.2121,1.0081,0.6,0.2,0,0.3,1.5288,0.84947,0.56229,0.58297,180,7,7,4,18,3.25,3.2222,3.2222,3.875,3.2,17,8,23,20,7,41,37,0,0,0,1
"13","13OA","OA","Male  ",18,"Yes","Yes",100,100,100,85.71429,2.3408,2.3547,1.4743,2.16,0,0.4,0.3,0.5,1.0128,1.2865,0.68361,0.83237,202,7,20,10,37,4.125,3.2222,4.3333,2.125,4,25,22,21,7,34,50,48,0,0,0,0
