sID,group,gender,age,righthanded,english,run1IT,run2IT,run3IT,run4IT,run1ET,run2ET,run3ET,run4ET,run1Err,run2Err,run3Err,run4Err,ETPreTR,ETPreUN,ETPostTR,ETPostUN,ErrPreTR,ErrPreUN,ErrPostTR,ErrPostUN,ITPreTR,ITPreUN,ITPostTR,ITPostUN,WM,IQ2,IQ5,IQ9,IQsum,Extrov,Agr,Consc,Neur,Open,PT,FS,EC,PD,NPI,InterDep,InDep,trapBIG,trapIRI,trapNPI,trapSC
1PP,PP,Female,18,Yes,No ,0.79204,0.59068,0.78193,0.35916,2.08,1.8046,1.5904,1.5929,0.5,0.3,0.5,0.1,3.0373,2.4048,1.256,2.288,0.7,0.5,0.3,0.4,1.3559,1.2878,0.33621,1.061,172,4,5,7,16,3.875,4.5556,3.7778,3.5,3.3,21,13,19,18,10,50,41,0,0,1,2
2PP,PP,Female,22,Yes,Yes,1.274,0.57759,0.47246,0.35809,2.1838,1.3235,1.0002,0.97962,0.1,0.3,0.3,0.3,7.804,2.526,1.1392,2.0401,0.8,0.6,0.2,0.3,3.092,2.7077,0.55649,0.81202,194,9,6,10,25,4.25,4.4444,4.2222,2.5,2.9,16,22,15,9,21,36,37,0,1,0,1
3PP,PP,Female,20,Yes,No ,0.37849,0.46997,0.3496,0.34759,0.76599,0.70398,0.595,0.52717,0.2,0.2,0.2,0,0.75601,1.2896,0.5253,0.72598,0.2,0,0.4,0.2,0.59213,0.47303,0.36351,0.4701,198,10,5,11,26,3.125,3.7778,2,3.75,3.1,25,23,22,17,12,45,36,1,0,0,2
4PP,PP,Female,26,Yes,Yes,1.1396,1.0828,1.308,0.76279,3.1324,2.456,1.8521,1.673,0.1,0.1,0,0.2,6.538,5.4079,2.0498,2.476,0.2,0.6,0.1,0.2,1.9788,1.1511,0.72459,1.362,158,4,9,5,18,3.625,4.2222,3.5556,3,3.9,17,20,20,15,11,45,42,0,1,0,2
5PP,PP,Female,20,Yes,Yes,0.31276,0.41147,0.24449,0.29806,0.71901,0.66491,0.53765,0.46559,0.2,0.1,0,0,1.256,   ,0.444,0.716,0.9,1,0,0,0.31722,    ,0.26393,0.28992,213,11,9,12,32,3.25,4.2222,3.5556,3.625,2.8,16,21,21,13,6,36,36,0,0,0,1
6PP,PP,Female,18,Yes,Yes,0.59448,0.4293,0.41285,0.25305,1.343,1.1707,1.2251,0.95156,0.2,0.1,0.2,0.1,3.04,2.6307,1.0934,1.4464,0.8,0.4,0.1,0,1.3364,1.3188,0.40474,0.33031,190,14,13,6,33,3.375,4.2222,3,4,4.2,21,27,20,13,30,46,48,0,0,0,1
7PP,PP,Female,20,Yes,No ,0.6573,0.67485,0.74566,0.5533,1.3554,1.3829,1.6255,1.06,0.3,0.3,0.4,0.8,2.1639,   ,1.168,    ,0.8,1,0.9,1,1.9325,    ,1.1561,    ,143,4,5,4,13,4.625,2.7778,2.7778,4.125,3.1,6,19,12,18,22,41,50,0,1,1,2
8PP,PP,Male  ,18,Yes,Yes,0.20146,0.2125,0.22046,0.17591,0.81223,0.73647,0.71524,0.54482,0.4,0.2,0.5,0.2,1.182,2.5618,0.54449,1.2208,0.2,0.5,0.1,0.5,0.76421,1.2138,0.30969,0.65259,204,14,18,5,37,2.625,2.7778,2.7778,4.125,4.3,19,23,21,19,9,48,43,0,0,0,2
9PP,PP,Female,18,Yes,Yes,0.39063,0.24594,0.25626,0.25693,0.89616,0.91512,0.55862,0.66498,0.4,0.5,0.5,0.2,1.2742,2.0188,0.70294,0.97617,0.6,0.4,0.1,0.4,0.56139,0.55421,0.42834,0.58485,224,11,7,11,29,3.875,4.1111,4.4444,2.875,3.1,19,13,23,8,8,45,35,0,0,0,1
10PP,PP,Female,20,Yes,No ,0.48922,0.35281,0.72242,0.33531,0.71821,0.74754,0.9296,0.46055,0.1,0.1,0,0.3,1.3417,1.406,0.67522,0.96571,0.3,0.6,0,0.3,1.0062,0.69199,0.33883,0.37261,194,5,6,12,23,2.375,3.5556,3.1111,3,2.7,16,13,22,12,11,39,40,0,1,0,1
11PP,PP,Female,18,Yes,Yes,0.3213,0.46382,0.32964,0.3058,1.032,1.122,1.1024,1.0736,0.1,0.2,0,0,1.4192,1.7394,0.90799,1.378,0.5,0.3,0,0.2,0.58206,0.91223,0.2861,0.69035,214,11,20,16,47,2.125,3.7778,3.5556,4.5,3.7,18,25,21,14,5,55,33,0,0,0,1
12PP,PP,Female,18,Yes,Yes,0.57566,0.30668,0.26373,0.22001,0.97422,0.7224,0.70402,0.64091,0.1,0,0.1,0.1,1.856,1.2857,0.75038,0.77996,0.3,0.3,0,0.2,1.3591,0.89897,0.24775,0.31983,190,9,12,11,32,2.625,3.4444,3.7778,4,3,21,28,21,21,4,44,41,0,1,0,2
13PP,PP,Female,19,Yes,Yes,0.46803,0.39679,0.31844,0.35986,1.5149,1.2229,1.28,0.96405,0.2,0.2,0.2,0.4,2.0583,2.8187,1.112,1.7702,0.3,0.7,0.1,0.3,1.4811,1.9482,0.47707,0.73912,194,5,12,11,28,4.125,3.3333,2.8889,3,3.2,20,9,15,11,4,37,43,0,0,0,2
14PP,PP,Male  ,27,Yes,Yes,0.30167,0.25535,0.2621,0.25179,0.67801,0.48232,0.43918,0.47419,0.2,0.3,0.1,0.4,1.253,1.1021,0.59471,0.68004,0.2,0.2,0.1,0.2,0.30465,0.33576,0.31784,0.36706,228,16,20,13,49,1.375,3.6667,3.7778,5,4.7,27,26,24,27,10,44,41,1,0,0,1
15PP,PP,Female,19,Yes,Yes,0.6121,0.36739,0.32345,0.47023,1.5956,1.3813,1.0498,1.0035,0.1,0.1,0.1,0.1,3.328,3.168,0.7936,2.0224,0.5,0.7,0,0,1.1906,1.2555,0.56073,0.85054,203,7,14,10,31,2.125,3.2222,3.8889,3.875,2.6,18,7,12,10,5,37,45,1,0,0,1
16PP,PP,Female,18,Yes,Yes,1.9515,1.192,    ,    ,3.132,3.022,    ,    ,0.6,0.6,1,1,6.092,3.72,    ,0.29007,0.8,0.9,1,0.9,4.9144,1.1579,    ,1.3988,202,7,8,6,21,2.75,3.4444,2.1111,3.75,4.4,20,20,16,20,15,56,44,0,0,1,2
17PP,PP,Female,19,Yes,No ,0.97869,1.0382,0.82686,0.5298,1.725,1.512,1.329,1.2514,0.2,0,0.2,0.3,3.081,3.191,1.179,1.784,0.2,0.2,0.2,0.4,1.6871,1.39,0.92908,1.4256,178,11,3,9,23,2.25,4.3333,2.5556,3.25,4.1,21,24,28,13,11,46,41,0,0,1,2
18PP,PP,Female,18,Yes,Yes,0.35733,0.45179,0.34584,0.34541,1.6088,1.0091,0.99605,0.78799,0,0.3,0.2,0.2,2.27,2.0949,0.912,1.3886,0.2,0.3,0,0.3,1.295,0.98061,0.49432,0.4456,188,8,10,7,25,3.875,2.7778,3.2222,3,3.6,13,14,15,12,14,34,44,1,0,0,2
19PP,PP,Male  ,19,Yes,Yes,0.57316,0.99107,0.43523,0.58033,1.133,0.93203,0.6848,0.67501,0.2,0.2,0.5,0.2,2.2552,2.013,0.87361,1.498,0,0.2,0,0.6,1.1817,1.0697,0.68373,0.89382,197,16,9,10,35,4.25,4,3.1111,2.875,4.7,15,26,20,15,19,52,47,1,0,0,1
20PP,PP,Female,18,Yes,Yes,0.26947,0.2782,0.28147,0.17785,0.89332,0.55677,0.56357,0.5264,0.1,0,0.1,0,1.4089,1.306,0.57242,1.0032,0.1,0.2,0.1,0.5,0.70487,0.60141,0.16822,0.30223,205,11,11,11,33,3.75,3.2222,2.8889,4.625,3.8,12,28,17,15,21,48,45,0,0,0,2
21PP,PP,Male  ,18,Yes,Yes,0.50035,0.41492,0.42109,0.34022,0.68267,0.68625,0.53244,0.58487,0.1,0.1,0.1,0.1,2.0264,1.656,0.56269,1.0187,0,0.1,0.1,0.1,0.72801,0.82888,0.31055,0.51345,215,11,11,11,33,3.125,2.7778,2.8889,3.375,2.3,14,19,16,10,8,53,36,0,0,0,2
22PP,PP,Female,20,Yes,No ,0.36584,0.26599,0.25635,0.24253,0.91112,0.88165,0.645,0.83547,0.1,0.5,0.3,0.3,2.8024,1.8183,0.72357,1.1696,0,0.3,0.1,0.5,0.68901,0.93636,0.26271,0.70282,204,13,17,10,40,2.875,3.8889,4.1111,2.875,2.5,17,12,14,9,13,41,42,0,0,0,1
